id_city,date,temperature,temperature_feels_like,condition,wind_speed,proba_precipitation
1,2025-06-01 15:00:00,5.92,2.82,légère pluie,4.32,100
1,2025-06-01 18:00:00,6.94,4.07,légère pluie,4.34,100
1,2025-06-01 21:00:00,8.44,6.02,légère pluie,4.14,39
1,2025-06-02 00:00:00,7.82,6.59,légère pluie,2.07,55
1,2025-06-02 03:00:00,7.79,6.68,couvert,1.93,0
1,2025-06-02 06:00:00,7.91,7.1,couvert,1.65,0
1,2025-06-02 09:00:00,2.28,0.73,ciel dégagé,1.58,0
1,2025-06-02 12:00:00,7.25,5.14,ciel dégagé,3.11,0
1,2025-06-02 15:00:00,14.08,12.56,ciel dégagé,4.58,0
1,2025-06-02 18:00:00,17.67,16.17,ciel dégagé,4.41,0
1,2025-06-02 21:00:00,18.27,16.81,ciel dégagé,4.05,0
1,2025-06-03 00:00:00,12.43,11.19,ciel dégagé,0.44,0
1,2025-06-03 03:00:00,7.99,7.55,partiellement nuageux,1.34,0
1,2025-06-03 06:00:00,6.77,6.77,nuageux,1.19,0
1,2025-06-03 09:00:00,8.8,8.45,couvert,1.35,0
1,2025-06-03 12:00:00,11.29,10.28,couvert,1.67,0
1,2025-06-03 15:00:00,15.48,14.75,couvert,3.76,0
1,2025-06-03 18:00:00,18.22,17.9,légère pluie,3.64,20
1,2025-06-03 21:00:00,24.44,24.4,nuageux,4.51,0
1,2025-06-04 00:00:00,20.7,20.76,partiellement nuageux,4.08,0
1,2025-06-04 03:00:00,15.33,15.4,couvert,2.4,0
1,2025-06-04 06:00:00,12.44,12.3,couvert,2.19,0
1,2025-06-04 09:00:00,10.6,10.2,couvert,2.33,0
1,2025-06-04 12:00:00,17.52,17.31,couvert,3.84,0
1,2025-06-04 15:00:00,24.88,24.91,couvert,5.56,0
1,2025-06-04 18:00:00,26.75,27.53,légère pluie,5.62,20
1,2025-06-04 21:00:00,24.01,24.58,légère pluie,4.76,100
